CompanyName,CompanySize,City,Salary,Industry
上海厚行投资管理有限公司(超额宝),50-150人,上海,3k-5k,金融
上海方付通商务服务有限公司(方付通),500-2000人,上海,3k-5k,移动互联网 · 金融
上海方付通商务服务有限公司(方付通),500-2000人,上海,3k-5k,移动互联网 · 金融
上海领路人互联网金融信息服务有限公司(领先贷),150-500人,上海,3k-5k,金融
荣璟金融信息服务（上海）有限公司(荣璟金融),50-150人,上海,3k-4k,金融
荣璟金融信息服务（上海）有限公司(荣璟金融),50-150人,上海,4k-6k,金融
上海牛散网络科技有限公司(上海牛散网络科技有限公司),15-50人,上海,5k-10k,金融
上海牛散网络科技有限公司(上海牛散网络科技有限公司),15-50人,上海,6k-10k,金融
上海海友金融信息服务有限公司(海友金融),50-150人,上海,3k-4k,移动互联网 · 金融
科翔高新技术发展有限公司(科翔资本),15-50人,上海,2k-4k,金融
上海金丘实业有限公司(金丘信息),150-500人,上海,4k-5k,金融 · 数据服务
杭州享财信息科技有限公司(和财富),50-150人,上海,10k-20k,金融
上海银砖金融信息服务有限公司(多融财富),50-150人,上海,5k-10k,移动互联网 · 金融
上海寰融信息技术有限公司(GFT),15-50人,上海,5k-10k,金融 · 数据服务
钦联资产管理有限公司(钦联财富),500-2000人,上海,5k-8k,金融 · 生活服务
上海方付通商务服务有限公司(方付通),500-2000人,上海,3k-4k,移动互联网 · 金融
上海领路人互联网金融信息服务有限公司(领先贷),150-500人,上海,4k-6k,金融
上海泰优汇典当有限公司(上海泰优汇典当有限公司),50-150人,上海,2k-4k,移动互联网 · 金融
上海笙箫文化传播有限公司(笙箫文化),15-50人,上海,4k-8k,金融 · 文化娱乐
上海君地投资集团有限公司(上海君地),150-500人,上海,6k-12k,金融
上海君地投资集团有限公司(上海君地),150-500人,上海,4k-8k,金融
上海乾生乾金融信息服务有限公司(钱升钱),150-500人,上海,4k-6k,金融
香港迅腾实业有限公司上海代表处(WWW.XM.COM),50-150人,上海,10k-15k,金融
香港迅腾实业有限公司上海代表处(WWW.XM.COM),50-150人,上海,6k-7k,金融
华设资产管理（上海）有限公司(华设财富),150-500人,上海,4k-8k,金融
上海鹤骑鹰信息技术有限公司(鹤骑鹰),15-50人,上海,6k-12k,移动互联网 · 金融
上海汇付数据服务有限公司(汇付),500-2000人,上海,9k-12k,移动互联网 · 金融
上海山屿海投资集团有限公司(山屿海集团),50-150人,上海,4k-6k,旅游 · 金融
九恒星（上海）金融信息服务有限公司(九恒星上海金服),150-500人,上海,4k-6k,金融 · 移动互联网
上海麦子资产管理有限公司(麦子金服),150-500人,上海,4k-6k,移动互联网 · 金融
香港迅腾实业有限公司上海代表处(WWW.XM.COM),50-150人,上海,6k-7k,金融
香港迅腾实业有限公司上海代表处(WWW.XM.COM),50-150人,上海,10k-15k,金融
上海佳锐信息科技有限公司(佳锐科技),50-150人,上海,3k-6k,企业服务 · 金融
上海维赛特科技实业有限公司(vsat财经),50-150人,上海,4k-6k,金融
誉满金融信息服务（上海）有限公司(誉满金融),2000人以上,上海,4k-5k,金融
力蕴汽车咨询服务（上海）有限公司(力蕴汽车金融),150-500人,上海,2k-3k,金融
上海方付通商务服务有限公司(方付通),500-2000人,上海,3k-5k,移动互联网 · 金融
纳泓互联网金融信息服务（上海）有限公司(纳泓金服),15-50人,上海,4k-5k,移动互联网 · 金融
上海中正达广投资管理有限公司(中正财富),50-150人,上海,2k-3k,金融
上海值乾资产管理有限公司(值乾资产),150-500人,上海,4k-5k,金融
上海益宽投资咨询有限公司(益宽投资),50-150人,上海,4k-6k,金融
上海千波资产管理有限公司(千波资产),15-50人,上海,4k-8k,金融
上海幼赋金融信息服务有限公司(幼富通),15-50人,上海,6k-8k,金融 · 企业服务
